section,key,value
per_day_pnl,day_2,489823
per_day_pnl,day_3,456258
per_day_pnl,day_4,446200
fold_pnls,F1,456258
fold_pnls,F2,446200
fold_pnls,F3,456258
fold_pnls,F4,489823
fold_pnls,F5,456258
aggregate,fold_min,446200
aggregate,fold_median,456258
aggregate,fold_mean,460959.4
aggregate,total_3day,1392280
aggregate,sharpe_3day,20.3167
aggregate,max_dd_3day,24766
per_product_3day,GALAXY_SOUNDS_BLACK_HOLES,67188
per_product_3day,GALAXY_SOUNDS_DARK_MATTER,48385
per_product_3day,GALAXY_SOUNDS_PLANETARY_RINGS,18164
per_product_3day,GALAXY_SOUNDS_SOLAR_FLAMES,1638
per_product_3day,GALAXY_SOUNDS_SOLAR_WINDS,60581
per_product_3day,MICROCHIP_CIRCLE,40045
per_product_3day,MICROCHIP_OVAL,10285
per_product_3day,MICROCHIP_RECTANGLE,64071
per_product_3day,MICROCHIP_SQUARE,37465
per_product_3day,MICROCHIP_TRIANGLE,12309
per_product_3day,OXYGEN_SHAKE_CHOCOLATE,-539
per_product_3day,OXYGEN_SHAKE_EVENING_BREATH,20865
per_product_3day,OXYGEN_SHAKE_GARLIC,57658
per_product_3day,OXYGEN_SHAKE_MINT,-558
per_product_3day,OXYGEN_SHAKE_MORNING_BREATH,23494
per_product_3day,PANEL_1X2,-858
per_product_3day,PANEL_1X4,26002
per_product_3day,PANEL_2X2,6814
per_product_3day,PANEL_2X4,50991
per_product_3day,PANEL_4X4,-356
per_product_3day,PEBBLES_L,3603
per_product_3day,PEBBLES_M,49099
per_product_3day,PEBBLES_S,50827
per_product_3day,PEBBLES_XL,105592
per_product_3day,PEBBLES_XS,25267
per_product_3day,ROBOT_DISHES,26201
per_product_3day,ROBOT_IRONING,41146
per_product_3day,ROBOT_LAUNDRY,25511
per_product_3day,ROBOT_MOPPING,9519
per_product_3day,ROBOT_VACUUMING,1624
per_product_3day,SLEEP_POD_COTTON,39680
per_product_3day,SLEEP_POD_LAMB_WOOL,30771
per_product_3day,SLEEP_POD_NYLON,12855
per_product_3day,SLEEP_POD_POLYESTER,37454
per_product_3day,SLEEP_POD_SUEDE,59581
per_product_3day,SNACKPACK_CHOCOLATE,31346
per_product_3day,SNACKPACK_PISTACHIO,23472
per_product_3day,SNACKPACK_RASPBERRY,20673
per_product_3day,SNACKPACK_STRAWBERRY,29617
per_product_3day,SNACKPACK_VANILLA,29969
per_product_3day,TRANSLATOR_ASTRO_BLACK,11510
per_product_3day,TRANSLATOR_ECLIPSE_CHARCOAL,37573
per_product_3day,TRANSLATOR_GRAPHITE_MIST,-1301
per_product_3day,TRANSLATOR_SPACE_GRAY,4789
per_product_3day,TRANSLATOR_VOID_BLUE,39803
per_product_3day,UV_VISOR_AMBER,16415
per_product_3day,UV_VISOR_MAGENTA,5449
per_product_3day,UV_VISOR_ORANGE,14997
per_product_3day,UV_VISOR_RED,9799
per_product_3day,UV_VISOR_YELLOW,55798
per_product_day_2,GALAXY_SOUNDS_BLACK_HOLES,13140
per_product_day_2,GALAXY_SOUNDS_DARK_MATTER,13719
per_product_day_2,GALAXY_SOUNDS_PLANETARY_RINGS,23252
per_product_day_2,GALAXY_SOUNDS_SOLAR_FLAMES,-5600
per_product_day_2,GALAXY_SOUNDS_SOLAR_WINDS,1180
per_product_day_2,MICROCHIP_CIRCLE,10084
per_product_day_2,MICROCHIP_OVAL,4638
per_product_day_2,MICROCHIP_RECTANGLE,21434
per_product_day_2,MICROCHIP_SQUARE,11090
per_product_day_2,MICROCHIP_TRIANGLE,4961
per_product_day_2,OXYGEN_SHAKE_CHOCOLATE,9410
per_product_day_2,OXYGEN_SHAKE_EVENING_BREATH,1669
per_product_day_2,OXYGEN_SHAKE_GARLIC,24630
per_product_day_2,OXYGEN_SHAKE_MINT,-2326
per_product_day_2,OXYGEN_SHAKE_MORNING_BREATH,13303
per_product_day_2,PANEL_1X2,-844
per_product_day_2,PANEL_1X4,21185
per_product_day_2,PANEL_2X2,6713
per_product_day_2,PANEL_2X4,20224
